iter	RMSE
0	0.612901142
1	0.5960991362
2	0.5801884042
3	0.5649748131
4	0.5519167
5	0.5374972281
6	0.5241913063
7	0.5112402385
8	0.4992614016
9	0.487192726
10	0.4755400257
11	0.4657529144
12	0.4570343674
13	0.4489541351
14	0.4387681122
15	0.4294335003
16	0.4220028679
17	0.413836812
18	0.4056833072
19	0.3984725301
20	0.3905563763
21	0.383568966
22	0.3765111619
23	0.3696629443
24	0.3641679988
25	0.3581739056
26	0.3530637624
27	0.3477765563
28	0.3428133791
29	0.3375874206
30	0.3335046668
31	0.3290272642
32	0.3248821616
33	0.3202888792
34	0.3170905404
35	0.3131686608
36	0.3093405402
37	0.3059977704
38	0.3027198709
39	0.2992579238
40	0.2959946781
41	0.2929557832
42	0.2900403005
43	0.2865531509
44	0.2842749282
45	0.2814504632
46	0.2787923828
47	0.2762857017
48	0.2743011103
49	0.2721898632
50	0.270103936
51	0.2683220647
52	0.2663690762
53	0.2642356937
54	0.262179673
55	0.260327427
56	0.2583675754
57	0.2567711346
58	0.2550185909
59	0.253335578
60	0.2517157636
61	0.2501541879
62	0.2485230884
63	0.2472954447
64	0.2458888131
65	0.2450398358
66	0.2439385947
67	0.2426216285
68	0.2414144295
69	0.2404158518
70	0.2394293077
71	0.2384583705
72	0.2372869114
73	0.236310034
74	0.2351898781
75	0.2342893732
76	0.2334050563
77	0.2325202441
78	0.2316043024
79	0.2306699003
80	0.229849438
81	0.2290438711
82	0.2281281111
83	0.2275658513
84	0.2269287804
85	0.2261609176
86	0.2256438963
87	0.2247526798
88	0.2242461375
89	0.2236797341
90	0.2231788733
91	0.2225535737
92	0.2219437257
93	0.2214313638
94	0.2208669871
95	0.2200486364
96	0.2195764297
97	0.2189350096
98	0.2183801894
99	0.217903256
100	0.2173734436
101	0.2169450783
102	0.2165420006
103	0.2161512237
104	0.2157193212
105	0.2151863638
106	0.2148427807
107	0.2146412149
108	0.2142140762
109	0.2134959159
110	0.2131709831
111	0.2125799716
112	0.2121594462
113	0.2116258032
114	0.2114043901
115	0.2109771348
116	0.2102387824
117	0.2098295895
118	0.2094638885
119	0.2092363585
120	0.2087178246
121	0.2084735223
122	0.208322601
123	0.2079391069
124	0.2075729247
125	0.2072908379
126	0.2068824572
127	0.2063297678
128	0.2059851101
129	0.2055324966
130	0.2052390595
131	0.2049251377
132	0.2045122758
133	0.20433624
134	0.2041295773
135	0.2036860283
136	0.2033824204
137	0.2029460243
138	0.2026094054
139	0.2023801537
140	0.2019568193
141	0.2017920612
142	0.2014961611
143	0.2013450441
144	0.2011723333
145	0.2010277721
146	0.2007256952
147	0.2003228835
148	0.2001215959
149	0.1997251105
150	0.1993780209
151	0.1991334516
152	0.1988978867
153	0.1986900706
154	0.1985049974
155	0.1980731587
156	0.1978680211
157	0.1976591603
158	0.1975655071
159	0.1973783693
160	0.1971584939
161	0.1967142959
162	0.1965088609
163	0.1963144316
164	0.1959907716
165	0.1955923212
166	0.1954568487
167	0.1952801124
168	0.1950872943
169	0.1948648573
170	0.1947018707
171	0.1944707446
172	0.1942790832
173	0.1940978599
174	0.1938294208
175	0.1937066578
176	0.1933786927
177	0.1932924596
178	0.193209679
179	0.1926931126
180	0.1921534667
181	0.1918746529
182	0.1917964308
183	0.1915414189
184	0.191454837
185	0.191319922
186	0.1912161172
187	0.1907065516
188	0.1906566243
189	0.1902848933
190	0.1901812258
191	0.1901049162
192	0.1899885492
193	0.1895217405
194	0.1894268002
195	0.1891803316
196	0.1888425283
197	0.1883003856
198	0.1879351407
199	0.1877212967
200	0.187428319
201	0.1873248638
202	0.1872609801
203	0.186972635
204	0.1869092034
205	0.1864599109
206	0.1863651008
207	0.1862769508
208	0.1861777091
209	0.1861139483
210	0.1860559953
211	0.1856818175
212	0.1855975418
213	0.1855271341
214	0.1851027731
215	0.1850063765
216	0.1846988547
217	0.1843785045
218	0.1842898876
219	0.1839952181
220	0.1836506603
221	0.1833203737
222	0.1832639081
223	0.1828786183
224	0.1825689661
225	0.1823214189
226	0.182240884
227	0.1821678963
228	0.1821031811
229	0.1820446057
230	0.1819808693
231	0.1819296091
232	0.1816056899
233	0.1810288798
234	0.1809671085
235	0.1807249235
236	0.1803596291
237	0.1801006622
238	0.1800377193
239	0.1797862724
240	0.1795015426
241	0.1790656651
242	0.1787254651
243	0.1784575099
244	0.1783887311
245	0.1779006698
246	0.1776625966
247	0.1775993445
248	0.1773245065
249	0.1771480158
250	0.1768481175
251	0.1767784544
252	0.1767220645
253	0.176667427
254	0.1763854616
255	0.1763397089
256	0.176148375
257	0.1758033766
258	0.1756077898
259	0.1755368206
260	0.1754816056
261	0.1752478282
262	0.1750185072
263	0.1747863652
264	0.1744846496
265	0.1742715218
266	0.1742129108
267	0.1741472432
268	0.1739759133
269	0.1739213077
270	0.1738684449
271	0.173477592
272	0.1734312576
273	0.1731646474
274	0.1731089545
275	0.172660877
276	0.1724199662
277	0.1720116842
278	0.1717455464
279	0.1716613153
280	0.1716262514
281	0.1712962891
282	0.1708767925
283	0.1708332952
284	0.1706817882
285	0.1705991118
286	0.1703636715
287	0.1699626566
288	0.1699242988
289	0.1697840933
290	0.1694229829
291	0.1690951449
292	0.1687335769
293	0.168388821
294	0.1679871435
295	0.1679422106
296	0.1679088213
297	0.1678732999
298	0.1678326443
299	0.1677850244
300	0.1674678719
301	0.1672186156
302	0.1671098983
303	0.1668334943
304	0.1665396427
305	0.1663138393
306	0.1661866089
307	0.1661538746
308	0.1661206133
309	0.1660828838
310	0.1660489302
311	0.1657286574
312	0.1655671241
313	0.1653480962
314	0.1653067718
315	0.1650609803
316	0.1648505142
317	0.164683582
318	0.1644466211
319	0.1643919857
320	0.164159582
321	0.1639195646
322	0.1636176199
323	0.1634647637
324	0.1632518757
