iter	Passed	Remaining
0	160	160025
1	164	82242
2	169	56242
3	173	43222
4	178	35440
5	182	30210
6	184	26230
7	186	23184
8	188	20803
9	191	18944
10	194	17487
11	197	16226
12	199	15152
13	201	14166
14	203	13384
15	206	12683
16	208	12063
17	210	11483
18	212	10968
19	214	10494
20	215	10061
21	217	9659
22	218	9290
23	219	8946
24	221	8630
25	222	8336
26	223	8064
27	225	7816
28	226	7579
29	227	7361
30	228	7148
31	229	6955
32	231	6773
33	232	6599
34	233	6433
35	234	6278
36	235	6134
37	236	5997
38	238	5867
39	239	5740
40	240	5623
41	241	5516
42	243	5410
43	244	5307
44	245	5211
45	246	5119
46	248	5033
47	249	4947
48	250	4865
49	251	4785
50	253	4713
51	254	4641
52	255	4571
53	257	4503
54	258	4437
55	259	4376
56	260	4314
57	261	4254
58	263	4197
59	264	4142
60	265	4091
61	267	4039
62	268	3988
63	269	3939
64	270	3895
65	271	3845
66	272	3801
67	274	3759
68	275	3718
69	276	3679
70	278	3640
71	279	3601
72	280	3564
73	282	3529
74	283	3494
75	284	3460
76	285	3427
77	287	3394
78	288	3365
79	289	3333
80	291	3302
81	292	3272
82	293	3243
83	294	3215
84	296	3187
85	297	3160
86	298	3133
87	300	3110
88	301	3088
89	303	3065
90	304	3040
91	305	3018
92	307	2995
93	308	2972
94	309	2949
95	311	2928
96	312	2907
97	313	2885
98	314	2864
99	316	2844
100	317	2826
101	318	2807
102	320	2787
103	321	2768
104	322	2751
105	324	2732
106	325	2714
107	326	2694
108	327	2677
109	328	2661
110	330	2644
111	331	2627
112	332	2611
113	334	2597
114	335	2584
115	337	2569
116	338	2555
117	339	2540
118	341	2526
119	342	2511
120	343	2496
121	345	2483
122	346	2469
123	347	2456
124	348	2442
125	350	2428
126	351	2415
127	352	2402
128	354	2390
129	355	2379
130	356	2368
131	358	2356
132	359	2344
133	360	2332
134	362	2323
135	364	2313
136	365	2303
137	367	2292
138	368	2283
139	369	2272
140	371	2262
141	372	2251
142	374	2242
143	375	2232
144	376	2222
145	378	2212
146	379	2203
147	381	2193
148	382	2183
149	383	2173
150	385	2164
151	386	2155
152	387	2146
153	389	2137
154	390	2128
155	392	2121
156	393	2112
157	394	2103
158	396	2094
159	397	2087
160	399	2080
161	400	2073
162	402	2066
163	403	2058
164	405	2050
165	406	2042
166	407	2034
167	409	2027
168	410	2019
169	411	2011
170	413	2003
171	414	1996
172	416	1989
173	417	1982
174	418	1974
175	420	1967
176	421	1960
177	422	1953
178	424	1946
179	431	1966
180	433	1959
181	434	1952
182	435	1945
183	437	1938
184	438	1932
185	440	1925
186	441	1918
187	442	1912
188	444	1905
189	445	1899
190	446	1892
191	448	1886
192	449	1880
193	451	1874
194	452	1867
195	454	1862
196	455	1857
197	457	1852
198	458	1847
199	460	1842
200	462	1836
201	463	1831
202	465	1826
203	466	1820
204	468	1815
205	469	1809
206	470	1803
207	472	1798
208	473	1793
209	475	1787
210	476	1782
211	478	1777
212	479	1772
213	481	1766
214	482	1761
215	483	1756
216	485	1752
217	487	1747
218	488	1742
219	490	1737
220	491	1732
221	492	1727
222	494	1723
223	496	1718
224	497	1714
225	499	1710
226	500	1705
227	502	1701
228	503	1696
229	505	1691
230	506	1686
231	507	1681
232	509	1676
233	510	1671
234	512	1666
235	513	1662
236	515	1658
237	516	1654
238	518	1649
239	519	1645
240	520	1640
241	522	1635
242	523	1631
243	525	1626
244	526	1622
245	527	1618
246	529	1614
247	530	1609
248	532	1604
249	533	1600
250	534	1596
251	536	1591
252	537	1586
253	538	1582
254	540	1579
255	541	1574
256	543	1570
257	544	1566
258	546	1563
259	547	1558
260	549	1554
261	550	1550
262	551	1546
263	553	1542
264	554	1538
265	556	1534
266	557	1530
267	558	1526
268	560	1522
269	561	1518
270	563	1514
271	564	1510
272	565	1506
273	566	1502
274	568	1498
275	570	1495
276	571	1491
277	572	1487
278	574	1484
279	575	1480
280	577	1476
281	578	1473
282	580	1469
283	581	1466
284	582	1462
285	584	1458
286	585	1454
287	587	1451
288	588	1447
289	589	1443
290	591	1440
291	592	1436
292	594	1433
293	595	1430
294	597	1426
295	598	1423
296	599	1419
297	600	1415
298	602	1411
299	603	1408
300	604	1404
301	606	1401
302	607	1397
303	609	1394
304	610	1391
305	611	1387
306	613	1384
307	614	1381
308	616	1377
309	617	1374
310	618	1370
311	620	1367
312	621	1364
313	623	1361
314	624	1357
315	625	1354
316	627	1351
317	628	1348
318	630	1345
319	631	1341
320	632	1338
321	634	1335
322	635	1332
323	636	1328
324	638	1325
325	639	1322
326	640	1319
327	642	1316
328	643	1313
329	645	1309
330	646	1306
331	647	1303
332	649	1300
333	650	1297
334	651	1293
335	653	1290
336	654	1287
337	656	1285
338	657	1281
339	658	1278
340	659	1275
341	661	1272
342	662	1268
343	663	1265
344	665	1262
345	666	1259
346	667	1257
347	669	1254
348	670	1251
349	672	1248
350	673	1245
351	674	1242
352	676	1239
353	677	1236
354	679	1233
355	680	1230
356	681	1227
357	683	1224
358	684	1222
359	685	1219
360	687	1216
361	688	1213
362	689	1210
363	691	1208
364	692	1205
365	694	1202
366	695	1199
367	696	1196
368	698	1193
369	699	1190
370	700	1187
371	701	1184
372	703	1181
373	704	1179
374	705	1176
375	707	1173
376	708	1170
377	709	1168
378	711	1165
379	712	1163
380	714	1160
381	715	1157
382	716	1154
383	718	1151
384	719	1149
385	720	1146
386	722	1144
387	723	1141
388	725	1139
389	727	1137
390	728	1134
391	729	1131
392	731	1129
393	732	1126
394	733	1123
395	734	1120
396	736	1118
397	737	1115
398	738	1112
399	740	1110
400	741	1107
401	742	1105
402	744	1102
